Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)"
2000_Cyprus,100.69412,96.73135,73.60526999999999,95.02569,88.89272,98.03891999999999,19.56232,95.31862,88.0464,,97.5553,93.89222,98.06997,98.06997,95.43413000000001,,,,82.43526999999999,4.35619,,,0.34088,4.565869999999999,2.17285,1.93003,5.806030000000001,5.61966,11.42569,95.64381,99.52678,,0.31586,2.24343,17.564729999999997,,6.636139999999999,11.19844,,
2000_Czechia,102.09704,103.33349,73.21705,93.80086,77.17148,100.25211,28.34885,,,,,,,,,,,,,,,,1.1814799999999999,,,,5.1180699999999995,7.05421,12.17228,,99.97188,,1.09093,,,,,,24.71336,75.28664
2000_Denmark,102.19049,101.42744,95.98534000000001,113.43458000000001,130.28378999999998,123.67456999999999,57.218309999999995,97.44444,88.60073,,90.28963,95.43621,98.10583000000001,99.92952,99.33436999999999,,,99.89669,81.81629000000001,,,,,0.66563,,1.8941700000000001,6.0966,7.2297199999999995,13.326310000000001,,,,,,18.18371,,5.44225,9.44714,18.262629999999998,81.68013
2000_Dominican Republic,131.63516,115.84567,,89.04564,57.064780000000006,65.76044,,84.72004,40.60467,24.34376,66.66433,27.615479999999998,86.10226,87.76025,85.05829,29.36665,,84.73626,62.76709,,,,5.11026,14.94171,,13.897739999999999,7.05253,3.61199,10.66451,,,,,2.65775,37.23291,,21.422639999999998,29.56203,,
2000_Estonia,99.4691,102.96704,88.38783000000001,98.30909,91.18235,96.36449,54.54407,95.59569,85.07887,,95.18726,91.05198,98.95669000000001,98.98116999999999,97.52794,,,98.47505,88.79796999999999,1.80388,,,2.34024,2.47206,5.80422,1.04331,6.19262,5.62259,11.81522,98.19612,99.85129,12.156939999999999,2.14252,5.37343,11.20203,,3.9494800000000003,6.745419999999999,19.418029999999998,80.58197
2000_Finland,102.00516999999999,101.2672,104.00264,113.12343,147.51133000000002,101.08371,82.32955,99.70392,94.47773000000001,,99.16494,96.86374,99.73543000000001,99.73543000000001,97.62177,,,99.68607,92.37258,,,,0.46307,2.37823,,0.26456999999999997,6.0751599999999994,7.54201,13.617170000000002,,99.83892,,0.51048,,7.62742,,2.6906,5.0346400000000004,28.291970000000003,71.70803000000001
2000_France,96.48031,100.42826,88.01687,103.48469,109.39426,102.75166,50.60308,95.59312,89.91505,,95.9623,89.27044000000001,96.18632,96.45129,94.76859,,,95.46535,90.78636999999999,,,,4.165,5.2314099999999994,,3.81368,5.01499,7.363739999999999,12.378730000000001,,,,,,9.21363,,5.6607199999999995,6.93312,30.552570000000003,69.21566
2000_Georgia,89.07327,95.18115999999999,73.28541,84.01373000000001,63.78546,83.06203000000001,38.32468,,76.15765999999999,,,82.72785999999999,,,,,,,58.3367,9.14338,,,0.26713000000000003,,0.39248,,3.7805800000000005,5.4375599999999995,9.21814,90.85661999999999,98.42178,,0.26144,0.4,41.6633,,,,22.98325,76.90944
2000_Germany,100.69591,105.11766999999999,,101.27228000000001,101.41635,98.82593,,99.33632,,,94.12488,,99.99891,99.99891,,,,,,,,,1.73669,,,,4.19751,8.99666,13.194170000000002,,99.90326,,1.7066599999999998,,,,,,26.91868,72.76916
2000_Greece,99.79084,94.36084,79.69331,90.37299999999999,82.04315,93.04574000000001,50.76597,92.21265,79.22078,,91.70706,84.744,95.82366999999999,95.82366999999999,87.71522,,,92.8605,74.42697,,,,,12.28478,,4.17633,5.65929,5.25359,10.91288,,,,,,25.57303,,12.60122,19.39864,,
