Year_Country,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)"
2000_Portugal,5.16176986694336,12.052880287170401,18.1287803649902,25.763380050659197,42.96321105957029,27.453929901123,29.941869735717802,19.6096496582031,94.53524780273442,85.66697692871091,95.6085968017578,98.12378692626949,,
2000_Qatar,3.72598004341125,9.67605018615723,,,,,,,,,,,,
2000_Republic of Korea,,,,,,,,,,,,,,
2000_Republic of Moldova,4.486390113830571,12.923930168151902,,,,,,,,,,,96.65380096435551,99.5250778198242
2000_Romania,2.8544299602508505,8.18758010864258,,,,,,,,,,,,
2000_Russian Federation,2.93981003761292,8.951849937438961,16.114200592040998,10.9687404632568,,,,,,,,,,
2000_Singapore,3.32136011123657,18.2845993041992,,,,,,,,,,,92.5494003295898,99.5046005249023
2000_Slovakia,3.8719899654388397,7.44282007217407,18.3729190826416,28.205509185791,51.026161193847706,15.8510103225708,15.6411800384521,10.5480098724365,95.2435989379883,89.8338165283203,95.9618301391602,96.7712020874023,,
2000_Slovenia,,,,,,,,,,,,,,
2000_Spain,4.17637014389038,10.6626300811768,21.789369583129897,20.184360504150398,43.7445487976074,22.8330001831055,25.8261795043945,17.2269401550293,91.0499420166016,78.4376907348633,94.9924087524414,95.9930191040039,,
2000_Sweden,6.81885004043579,12.9876699447632,27.1832809448242,47.4092407226563,37.7431297302246,24.4558506011963,27.894250869751,21.754819869995103,100.0,100.0,100.0,100.0,,
2000_Switzerland,4.7814002037048295,14.6406497955322,22.292179107666,48.8116989135742,39.44057083129879,24.6612606048584,31.4196090698242,20.0472393035889,91.0362014770508,88.3817596435547,92.51233673095699,90.15589141845699,,
2000_Thailand,5.25345993041992,28.388599395752,20.303630828857397,35.3390007019043,21.886510848999,,32.2286911010742,17.4728298187256,,,,,92.6465377807617,97.9753875732422
2000_Trinidad and Tobago,2.75565004348755,11.7311201095581,,,34.4629592895508,,50.24320983886721,10.416749954223599,,,,,97.9000015258789,99.4000015258789
2000_Tunisia,6.201980113983151,24.5917797088623,21.6549606323242,72.3510665893555,45.0306396484375,24.5339794158936,33.3143997192383,14.1746301651001,85.5146789550781,74.1462173461914,81.53407287597659,98.2849273681641,,
2000_Turkey,2.52907991409302,6.375830173492429,30.9111404418945,,,,,,85.6115493774414,78.5184326171875,,,,
2000_United Arab Emirates,,,,,,,,,,,,,,
2000_United Kingdom of Great Britain and Northern Ireland,4.071790218353271,12.0201101303101,17.540550231933597,20.7060508728027,48.7332992553711,21.9098091125488,24.711349487304698,12.748450279235803,94.8503265380859,,95.3556289672852,94.46643829345699,,
2000_United States of America,,,,,,,,,,,,,,
2000_Uruguay,2.4225499629974396,8.318530082702638,20.4781093597412,18.3022708892822,37.7866096496582,10.0047197341919,32.5535202026367,7.25879001617432,95.25489044189449,94.9022979736328,95.0516815185547,95.5722274780273,,
2000_Viet Nam,,,,,,,,,,,,,90.1561279296875,94.8365097045898
2003_Albania,3.06427001953125,10.573599815368699,,,,,,,,,,,,
2003_Algeria,,,,,,17.932659149169897,,11.5248699188232,,,,,,
2003_Argentina,3.5350499153137203,14.354869842529302,16.1871700286865,10.4249401092529,37.2598991394043,12.593600273132301,38.014801025390604,10.499400138855,99.1878204345703,99.0627975463867,99.3115386962891,99.1446914672852,,
2003_Australia,,,,,,,,,,,,,,
2003_Austria,5.36183023452759,10.739620208740199,23.519800186157198,,48.9391212463379,27.8782806396484,19.723089218139602,22.606229782104503,97.06688690185551,96.92568969726558,97.2206573486328,97.0437774658203,,
2003_Belgium,,,,,,,,,,,,,,
2003_Brazil,,,,,,,,,,,,,,
2003_Bulgaria,4.02937984466553,11.1802501678467,19.6962604522705,26.5359802246094,44.6104583740234,19.6103801727295,19.1056594848633,17.826589584350604,96.3232421875,94.0845184326172,96.9203033447266,97.27896118164058,,
2003_Canada,,,,,,,,,,,,,,
2003_Chile,3.9634599685668905,17.637220382690398,13.1512002944946,14.5215702056885,38.3832588195801,15.436120033264197,39.7918701171875,14.541830062866199,89.20166015625,93.1686325073242,86.86923217773442,86.9875717163086,,
2003_China,,,,,,,,,,,,,,
2003_Colombia,4.325139999389649,15.537260055542,,,,,,,,,,,,
2003_Costa Rica,5.1563601493835405,,,,,,,,,,,,,
2003_Croatia,3.8675498962402304,8.21189975738525,18.547260284423803,26.165540695190398,,,,,92.6765289306641,92.95545196533199,,,,
2003_Cyprus,6.65670013427734,16.515230178833,21.262729644775398,55.6418685913086,45.865451812744105,33.890369415283196,27.947290420532198,21.2558708190918,85.7841262817383,74.8565292358398,86.5494384765625,86.25330352783199,,
2003_Czechia,4.13642978668213,8.38265991210938,20.7544097900391,30.4927997589111,50.543701171875,21.3021392822266,15.7117204666138,11.693169593811,90.84902954101558,86.13452911376949,92.5681533813477,89.7126998901367,,
2003_Denmark,8.12193965911865,15.1417503356934,29.9951992034912,65.0940704345703,34.608200073242195,33.9077682495117,23.5328903198242,,93.3813705444336,94.236572265625,93.8538818359375,90.47222900390629,,
2003_Dominican Republic,1.8446500301361102,9.70180988311768,,,,,,,,,,,,
2003_Estonia,5.29463005065918,15.0490303039551,19.262750625610398,21.9722499847412,44.37361145019529,26.1663093566895,26.302659988403303,19.0564403533936,89.7880172729492,98.7146530151367,90.0394515991211,89.3888931274414,,
2003_Finland,6.17476987838745,12.775970458984402,32.031570434570305,35.351280212402294,41.0357818603516,25.9988803863525,21.6014595031738,17.7046203613281,91.2864303588867,95.013427734375,89.8664398193359,88.0628509521484,,
2003_France,5.746709823608401,10.787349700927699,20.2637500762939,34.1858100891113,48.9463691711426,29.870550155639602,18.808940887451197,17.7436504364014,90.83609008789058,88.9805068969727,90.02661895751949,93.42135620117192,,
2003_Georgia,2.06559991836548,12.492939949035598,,,,,,,,,,,,
2003_Germany,,,,,,,,,,,,,,
2003_Greece,3.42933988571167,7.360400199890139,30.9317893981934,20.645929336547898,36.4531593322754,19.1373901367188,,,78.16490173339841,59.2200698852539,86.3323974609375,,,
2003_Hungary,5.7895998954772905,11.8297700881958,20.6911697387695,31.078149795532198,45.808509826660206,26.082950592041,16.909000396728498,21.371080398559602,92.32678985595699,85.1731414794922,93.8829879760742,95.60650634765629,,
2003_Iceland,7.31735992431641,16.375900268554698,18.5846996307373,29.498929977417003,34.546600341796896,21.1605396270752,34.8693313598633,23.473680496215803,,,,,,
2003_Indonesia,3.21799993515015,16.278179168701197,,,,,,,,,,,,
2003_Ireland,4.20553016662598,12.747920036315902,24.8527507781982,22.8002109527588,35.3127899169922,18.458429336547898,34.178600311279304,12.833620071411099,92.66665649414058,95.08145141601558,92.0197067260742,91.6548309326172,,
2003_Israel,6.354589939117429,12.792200088501,18.4670696258545,26.052860260009798,28.9126796722412,18.3158893585205,35.8936614990234,21.7317905426025,92.4063186645508,90.29650115966801,92.76602172851558,89.9922714233398,,
2003_Italy,4.55480003356934,9.64083957672119,16.419010162353498,22.401460647582997,47.0518989562988,27.124780654907198,25.653850555419897,24.0994701385498,91.98342895507808,86.6511917114258,93.8211669921875,93.3693618774414,,
2003_Japan,,,,,,,,,,,,,,
2003_Jordan,,,,,,19.5960006713867,,16.4819507598877,,,88.9846878051758,88.8203887939453,89.8923187255859,99.1325912475586
2003_Kazakhstan,,,,,,,,,,,,,,
2003_Latvia,5.06728982925415,15.3767595291138,13.8741903305054,13.5234699249268,54.6149291992188,22.935710906982397,17.1663703918457,19.2554397583008,91.1454696655273,94.4444427490234,90.8727874755859,90.0505905151367,,
2003_Lebanon,,,,,,,,,,,,,,
2003_Lithuania,5.1085100173950195,15.9309797286987,19.2870502471924,19.8327102661133,50.433441162109396,19.626939773559602,14.7936296463013,14.062129974365199,95.5090713500977,92.6911163330078,95.93321990966801,94.410888671875,,
2003_Luxembourg,,,,,,23.4064598083496,,,,,82.3352813720703,,,
2003_Malaysia,7.5028800964355495,24.5424404144287,34.9864692687988,89.2833099365234,34.1218681335449,25.0953006744385,29.276809692382802,17.7442893981934,65.81027221679689,64.1504974365234,66.2131195068359,65.9623489379883,,
2003_Malta,,,,,,,,,,,,,,
2003_Mexico,5.07257986068726,22.4718704223633,16.8584003448486,40.3852081298828,29.1847496032715,15.3358697891235,39.2833099365234,14.0724401473999,96.8780975341797,94.7836227416992,96.5826034545898,97.66058349609379,,
2003_Montenegro,,,,,,,,,,,,,97.7734603881836,99.41027069091801
2003_Netherlands,5.1014900207519505,11.6222496032715,,,,,,,87.16754150390629,87.75347900390629,86.64675903320308,87.2862777709961,,
2003_New Zealand,6.4375300407409695,16.7755508422852,,,,,,,,,,,,
2003_North Macedonia,,,,,,,,,,,,,,
2003_Norway,7.4197998046875,15.684929847717301,30.390579223632802,48.4634284973145,36.047550201416,31.712049484252898,26.6308898925781,20.8497295379639,89.05615234375,91.1352920532227,88.3463592529297,87.1627197265625,,
2003_Peru,2.9377999305725098,14.6583099365234,13.2459497451782,12.5002899169922,30.311719894409197,10.219639778137198,35.953498840331996,6.77369022369385,93.5272598266602,85.5799331665039,96.2652206420898,99.0121078491211,,
2003_Poland,5.33218002319336,11.644379615783699,19.1422500610352,19.6612701416016,37.6429100036621,19.6868896484375,33.3778915405273,22.7937393188477,94.0529022216797,89.18128204345699,94.8104476928711,94.9071884155273,,
2003_Portugal,5.2782697677612305,11.6563301086426,18.037639617919897,24.842340469360398,40.971771240234396,29.5210990905762,30.378969192504897,21.8402805328369,96.71066284179692,94.93457794189449,96.11791229248051,98.27850341796879,,
2003_Qatar,3.3739399909973105,10.7000598907471,,,,,,,,,,,,
2003_Republic of Korea,4.13241004943848,,13.60023021698,8.35019969940186,41.4124908447266,22.4817199707031,35.238151550293004,16.6629791259766,79.7964324951172,82.79820251464841,78.8340225219727,78.9612197875977,,
2003_Republic of Moldova,5.42490005493164,16.192590713501,,,,,,,,,,,,
2003_Romania,3.42195010185242,11.1390600204468,19.714889526367198,22.603700637817397,40.1278800964355,13.3558502197266,15.9088401794434,11.853879928588901,91.922119140625,77.6038589477539,95.3134307861328,96.0460891723633,,
2003_Russian Federation,3.67853999137878,10.5316896438599,18.4654903411865,11.4351396560669,,,,,,,,,,
2003_Singapore,4.00778007507324,21.8065204620361,,,,,,,,,,,,
2003_Slovakia,4.2172098159789995,10.567740440368699,19.6573600769043,28.177059173584,50.5513801574707,17.108190536499,14.950360298156701,12.547400474548303,93.26983642578129,89.88919067382808,93.19442749023442,94.6122589111328,,
2003_Slovenia,5.69127988815308,13.695960044860803,22.328079223632802,24.9238605499268,46.594520568847706,,21.763469696044897,,90.3785400390625,91.4199600219727,90.1789169311523,88.6553268432617,,
2003_Spain,4.16717004776001,10.887550354003901,23.2186393737793,22.1769695281982,40.254951477050795,23.1828594207764,25.716909408569304,18.1693496704102,88.955810546875,79.796257019043,91.06463623046879,94.2189178466797,,
2003_Sweden,6.8576397895813,12.9209203720093,28.8677597045898,42.7682113647461,36.41856002807621,24.371789932251,27.550289154052702,21.8415908813477,94.6393890380859,100.0,92.7593612670898,92.8220062255859,,
2003_Switzerland,5.52375984191895,16.3348903656006,27.0848007202148,59.04267883300779,36.4589385986328,26.606500625610398,29.9740390777588,22.687929153442397,90.3154525756836,89.5875625610352,91.55886840820308,88.0808486938477,,
2003_Thailand,3.7256100177764906,20.8663501739502,,,,,,,,,,,,
2003_Trinidad and Tobago,3.1366000175476096,13.9100704193115,,,36.8307991027832,,39.1824188232422,11.189310073852502,,,,,,
2003_Tunisia,6.81673002243042,27.684289932251,24.4137802124023,60.7449607849121,40.606109619140604,23.7392406463623,34.980110168456996,18.558219909668,,,,,,
2003_Turkey,2.8766300678253196,7.419879913330081,32.4420890808105,32.1472396850586,,,,,85.4304122924805,82.854362487793,,,,
2003_United Arab Emirates,,,,,,,,,,,,,,
2003_United Kingdom of Great Britain and Northern Ireland,4.84832000732422,13.600709915161099,19.7607707977295,24.862300872802702,48.2742309570313,25.076580047607397,25.477340698242198,16.339820861816403,93.91741943359379,,93.3663864135742,94.4434967041016,,
2003_United States of America,,,,,,,,,,,,,,
2003_Uruguay,2.0682098865509,6.8013401031494105,25.939500808715803,17.094659805297898,32.468269348144496,6.49912977218628,31.0961093902588,5.85303020477295,92.7220077514648,95.1523590087891,87.67019653320308,93.9529037475586,,
2003_Viet Nam,,,,,,,,,,,,,,
2006_Albania,3.1571900844573997,10.9329500198364,,,,,,,,,,,,
2006_Algeria,,,,,,,,,,,,,72.648681640625,91.7796401977539
2006_Argentina,4.12821006774902,15.5100002288818,17.7541408538818,13.1567697525024,40.0211601257324,16.5066299438477,35.0424118041992,11.5965003967285,97.5134506225586,98.8617095947266,97.37830352783199,97.0569076538086,98.6108016967773,99.4460830688477
2006_Australia,4.75359010696411,13.178199768066401,21.980079650878896,,39.600151062011705,,34.9682197570801,17.744960784912102,,89.2672271728516,91.8915786743164,91.93859100341801,,
2006_Austria,5.22652006149292,10.3745803833008,27.1619300842285,,46.5793113708496,25.7092208862305,18.5685501098633,22.585950851440398,95.88922119140629,93.7842636108398,97.6040267944336,95.1570816040039,,
2006_Belgium,,,,,,,,,,,,,,
2006_Brazil,4.87060022354126,12.423319816589402,16.664230346679698,,43.7879791259766,,32.024669647216804,,94.0681610107422,94.0714111328125,95.1604537963867,93.26553344726558,89.61522674560551,97.5822982788086
2006_Bulgaria,3.93201994895935,12.010479927063,17.2885608673096,21.2066497802734,44.689151763915994,20.1410503387451,19.7152690887451,21.5606307983398,91.4995269775391,87.1211395263672,92.1542282104492,92.64254760742192,,
2006_Canada,,,,,,,,,93.7789688110352,92.4685287475586,,,,
2006_Chile,3.0215299129486097,16.2312793731689,14.811579704284698,11.047080039978,38.6039886474609,11.6508102416992,35.891750335693395,10.4430198669434,95.04004669189449,92.08556365966801,96.0655899047852,96.62890625,,
2006_China,,,,,,,,,,,,,,
2006_Colombia,3.89332008361816,13.7688302993774,,,,,,,,,,,92.2996826171875,97.88317108154301
2006_Costa Rica,4.63918018341064,,20.9271297454834,,30.0879096984863,16.062780380249,39.42055130004879,14.4176998138428,,,98.65463256835942,98.0809173583984,,
2006_Croatia,,,,,,,,,,,,,,
2006_Cyprus,6.22760009765625,16.179620742797898,23.5266304016113,53.445011138915994,43.840171813964794,31.6821308135986,27.7900199890137,21.766180038452102,87.9681015014648,79.57293701171879,90.4866409301758,86.05596923828129,,
2006_Czechia,4.21710014343262,10.1969404220581,26.6974201202393,34.104259490966804,47.208988189697294,21.09547996521,13.564689636230499,12.3756904602051,89.5749969482422,88.00811767578129,91.1901626586914,88.1030426025391,,
2006_Denmark,7.7299098968505895,15.5126399993896,28.3820991516113,52.1155891418457,36.9859199523926,33.5299301147461,23.6902904510498,23.946870803832997,94.6005020141602,96.5263137817383,93.5928573608398,92.9741973876953,,
2006_Dominican Republic,,,,,,,,,,,,,,
2006_Estonia,,,,,,,,,,,,,,
2006_Finland,5.9380998611450195,12.283820152282699,31.651859283447298,32.036041259765604,42.193878173828104,30.5034103393555,20.6201992034912,17.3281002044678,92.4534378051758,95.57373809814449,90.3369598388672,91.14586639404301,,
2006_France,5.45718002319336,10.321009635925302,21.409740447998,33.7523193359375,46.954250335693395,27.187200546264602,20.0942096710205,17.2172603607178,90.2833786010742,88.2287063598633,89.1914291381836,93.4637680053711,,
2006_Georgia,3.00363993644714,12.895389556884801,,,,,,,,,,,,
2006_Germany,4.27930021286011,9.574159622192381,25.1859703063965,,47.1150093078613,20.208869934082,14.738039970397901,15.6047201156616,92.7268905639648,91.97264862060551,92.9944381713867,91.78704833984379,,
2006_Greece,,,,,,,,,,,,,,
2006_Hungary,5.30903005599976,10.3277101516724,19.1414909362793,23.3297500610352,40.372650146484396,22.7504997253418,19.49534034729,25.066280364990202,92.3745498657227,88.5130386352539,93.65463256835942,95.0236282348633,,
2006_Iceland,7.37106990814209,17.925579071044897,17.9775695800781,25.6060905456543,33.6147994995117,22.203599929809602,34.642101287841804,25.499000549316396,90.0112686157227,92.41845703125,89.80618286132808,87.4288482666016,,
2006_Indonesia,,,,,,,,,,,,,91.98226928710942,96.6510391235352
2006_Ireland,4.545470237731929,13.429759979247999,23.946849822998,24.69993019104,34.789840698242195,21.109689712524396,33.8711814880371,14.2543601989746,91.9516830444336,93.4657821655273,91.2606430053711,91.6194915771484,,
2006_Israel,5.7630300521850595,13.1315498352051,16.473180770874,21.590539932251,28.853979110717802,17.254470825195302,37.286590576171896,20.586950302124,93.95480346679692,89.7196273803711,93.9923095703125,92.24524688720699,,
2006_Italy,4.53776979446411,9.52719020843506,16.9850692749023,22.0865097045898,46.2350196838379,26.919620513916,25.0557708740234,23.6924991607666,94.3081588745117,89.2692489624023,96.0367584228516,95.13726806640629,,
2006_Japan,,,,,,,,,,,,,,
2006_Jordan,,,,,,17.448560714721697,,13.766500473022498,,,87.6492919921875,85.5854110717773,,
2006_Kazakhstan,2.62678003311157,13.2673397064209,16.3961601257324,7.49531984329224,,,,,92.07324981689449,85.9778518676758,,,,
2006_Latvia,4.71155023574829,13.9116296768188,17.9230098724365,14.286319732666,43.0217399597168,17.3994998931885,25.359859466552702,33.6385688781738,87.4823837280273,89.23204803466801,87.3037796020508,86.1558685302734,,
2006_Lebanon,2.80862998962402,7.6931900978088406,27.2607803344727,17.94407081604,,,,,96.3667221069336,99.5766830444336,,,,
2006_Lithuania,4.82054996490479,14.289649963378901,20.5725193023682,15.7545700073242,50.772800445556605,19.147659301757802,15.0447196960449,15.408860206603999,90.5268325805664,85.98385620117192,91.4657211303711,89.1556625366211,,
2006_Luxembourg,,,,,,20.2211093902588,,,,,87.01345825195308,,,
2006_Malaysia,4.485770225524901,16.745569229126,36.1329116821289,57.4751205444336,29.560569763183604,13.777930259704599,27.707139968872102,10.0994501113892,,78.5481872558594,96.6050491333008,,,
2006_Malta,,,,,,,,,,,,,,
2006_Mexico,4.6999201774597195,20.8243198394775,17.1988792419434,36.3716316223145,29.7911491394043,14.0125999450684,38.820991516113295,13.3532304763794,96.76209259033199,95.6841583251953,97.1573028564453,97.5839462280273,91.7345199584961,97.89566040039058
2006_Montenegro,,,,,,,,,,,,,,
2006_Netherlands,5.09046983718872,12.0650300979614,,,,,,,86.3684616088867,87.85662841796879,84.6453475952148,87.2393798828125,,
2006_New Zealand,5.95282983779907,15.179030418396001,,,,,,,,,,,,
2006_North Macedonia,,,,,,,,,,,,,,
2006_Norway,6.38566017150879,15.864870071411099,31.545509338378896,43.725830078125,35.1452598571777,25.368610382080103,25.639829635620103,17.7592601776123,89.3261871337891,93.953857421875,,88.1519317626953,,
2006_Peru,2.6528100967407204,14.0353002548218,14.425559997558599,11.242429733276401,35.5043792724609,10.3644304275513,40.443019866943395,7.4439902305603,90.744140625,77.9937515258789,88.0113372802734,96.6097564697266,88.6993408203125,97.7571334838867
2006_Poland,5.205729961395259,12.665410041809098,18.30544090271,16.9391193389893,38.2215118408203,22.8795509338379,32.530948638916,24.823509216308604,90.5094833374023,85.468620300293,92.3969879150391,88.8923797607422,,
2006_Portugal,4.90802001953125,10.8709497451782,19.0438003540039,26.7753391265869,40.4145393371582,31.5399894714355,30.1716995239258,20.762020111084002,96.10800170898442,89.4742584228516,97.49549102783199,98.83273315429692,,
2006_Qatar,,,,,,,,,,,,,,
2006_Republic of Korea,3.9674301147460898,,14.962929725647,8.97463989257813,42.0392303466797,20.908109664917,33.173858642578104,16.208740234375,87.9584808349609,83.9737091064453,88.78768920898442,88.30309295654301,,
2006_Republic of Moldova,7.4989299774169895,18.608819961547898,19.4153900146484,36.3121795654297,,,,,97.0167770385742,100.0,,,,
2006_Romania,4.25387001037598,12.7196197509766,20.950309753418,22.6210403442383,19.5237197875977,8.74394989013672,37.227729797363295,35.777679443359396,82.277229309082,67.6032562255859,86.8727035522461,91.7667617797852,,
2006_Russian Federation,3.86626005172729,12.425800323486301,21.896509170532198,13.210280418396001,,,,,,,,,,
2006_Singapore,2.86787009239197,19.749319076538104,,,,,,,,,,,,
2006_Slovakia,3.7135400772094704,9.58010959625244,23.6755199432373,23.865419387817397,46.41545104980471,14.4680795669556,17.5998802185059,14.919480323791499,94.1937408447266,90.5942764282227,95.12256622314449,95.7158584594727,,
