Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",pisa_math,pisa_reading,pisa_science,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)"
2000_China,,,,,37.8436,77.49127,7.62093,,,,,,,,,,,,,,,,,,,,,3.77913,,,,6.60991,,,,,,,,,,,,,,,,,,,,,,,,90.9202117919922,98.8587265014648
2000_Colombia,149.20533,120.91092,72.35208,93.29654,55.10688,77.27617,23.1945,94.64319,,,80.94972,,97.53765,100.0,,,,,,,,,5.354419999999998,,,2.46235,6.0586400000000005,4.19589,10.25454,,92.33528,,6.50595,,,,,,,,,,,3.5112099647522004,13.2868299484253,19.877750396728498,30.1899108886719,33.0705986022949,13.1458902359009,44.5569190979004,12.1071195602417,,,,,,
2000_Costa Rica,105.64284,112.60983,,90.75298,44.92279,76.30866,,,,,,,,,,,,,,39.3033,,,8.059439999999999,,10.41,,6.76152,3.2391,10.00062,60.6967,82.92189,,8.22428,9.21978,,,,,,,,,,4.68696022033691,,19.4376602172852,,28.0054492950439,20.1552791595459,46.52693939208979,15.5226802825928,,,,,94.8681869506836,97.6147003173828
2000_Croatia,95.55974,95.04631,71.46844,88.41917,80.16481,91.09737,32.381170000000004,87.71651,82.35194,84.04486999999997,93.66023,91.95402,93.90671,93.90671,93.03843,71.62581,,,77.70248000000002,1.18999,,,0.45458,6.96157,0.737,6.0932900000000005,3.8373,6.87125,10.70855,98.81001,99.73879,,0.46865,0.8400799999999999,22.29752,,12.1379,14.77639,27.28224,72.71776,,,,,,,41.9231414794922,,,,,,96.8577880859375,,,,
2000_Cyprus,100.69412,96.73135,73.60526999999998,95.02569,88.89272,98.03892,19.56232,95.31862,88.0464,,97.5553,93.89222,98.06997,98.06997,95.43413,,,,82.43526999999997,4.35619,,,0.34088,4.5658699999999985,2.17285,1.93003,5.806030000000002,5.61966,11.42569,95.64381,99.52678,,0.31586,2.24343,17.564729999999994,,6.636139999999998,11.19844,,,,,,4.89277982711792,14.2683095932007,17.129930496215803,55.855751037597706,50.29088973999021,26.8186302185059,27.5694904327393,14.638770103454599,91.7948684692383,75.0957870483398,92.5879364013672,94.28890991210942,,
2000_Czechia,102.09704,103.33349,73.21705,93.80086,77.17148,100.25211,28.34885,,,,,,,,,,,,,,,,1.18148,,,,5.11807,7.05421,12.17228,,99.97188,,1.09093,,,,,,24.71336,75.28664,,492.0,,3.65089011192322,8.9122896194458,18.9773101806641,28.0065593719482,49.7488212585449,19.4474105834961,18.1888809204102,10.5587596893311,91.91177368164058,89.56826782226558,91.9493865966797,91.7727584838867,,
2000_Denmark,102.19049,101.42744,95.98534,113.43458,130.28378999999998,123.67457,57.21831,97.44444,88.60073,,90.28963,95.43621,98.10583,99.92952,99.33437,,,99.89669,81.81629000000002,,,,,0.66563,,1.89417,6.0966,7.229719999999999,13.32631,,,,,,18.18371,,5.44225,9.44714,18.26263,81.68013,,497.0,,8.08432960510254,15.3441495895386,30.0013103485107,68.4637298583984,36.7402496337891,37.21644973754879,21.020399093627894,23.6179008483887,92.1229705810547,85.8744735717773,94.82821655273442,91.89215087890629,,
2000_Dominican Republic,131.63516,115.84567,,89.04564,57.064780000000006,65.76044,,84.72004,40.60467,24.34376,66.66433,27.61548,86.10226,87.76025,85.05829,29.36665,,84.73626,62.76709,,,,5.11026,14.94171,,13.89774,7.05253,3.61199,10.66451,,,,,2.65775,37.23291,,21.42264,29.56203,,,,,,1.88829004764557,12.9884796142578,,,,,,,,,,,,
2000_Estonia,99.4691,102.96704,88.38783000000002,98.30909,91.18235,96.36449,54.54407,95.59569,85.07887,,95.18726,91.05198,98.95669,98.98117,97.52794,,,98.47505,88.79796999999998,1.80388,,,2.34024,2.47206,5.80422,1.04331,6.19262,5.62259,11.81522,98.19612,99.85129,12.15694,2.14252,5.37343,11.20203,,3.94948,6.745419999999998,19.41803,80.58197,,,,5.3402099609375,14.6785001754761,,,,,,,,,,,99.7671966552734,99.77050018310551
2000_Finland,102.00517,101.2672,104.00264,113.12343,147.51133000000004,101.08371,82.32955,99.70392,94.47773,,99.16494,96.86374,99.73543,99.73543,97.62177,,,99.68607,92.37258,,,,0.46307,2.37823,,0.26457,6.07516,7.54201,13.617170000000002,,99.83892,,0.51048,,7.62742,,2.6906,5.03464,28.291970000000006,71.70803000000002,,546.0,,5.71687984466553,12.1709203720093,34.0304298400879,37.271511077880895,38.7822914123535,23.2270393371582,21.4021301269531,16.3201999664307,93.32675170898442,93.53958129882808,93.11077880859379,93.03964233398442,,
2000_France,96.48031,100.42826,88.01687,103.48469,109.39426,102.75166,50.60308,95.59312,89.91505,,95.9623,89.27044000000002,96.18632,96.45129,94.76859,,,95.46535,90.78637,,,,4.165,5.23141,,3.81368,5.01499,7.363739999999999,12.37873,,,,,,9.21363,,5.66072,6.93312,30.552570000000006,69.21566,,505.0,,,,17.6102199554443,,49.896278381347706,,20.169340133667,,90.4981231689453,88.5074234008789,89.7596282958984,90.3782424926758,,
2000_Georgia,89.07327,95.18116,73.28541,84.01373000000002,63.78546,83.06203000000002,38.32468,,76.15765999999998,,,82.72785999999998,,,,,,,58.3367,9.14338,,,0.26713000000000003,,0.39248,,3.780580000000001,5.43756,9.21814,90.85662,98.42178,,0.26144,0.4,41.6633,,,,22.98325,76.90944,,,,2.18107008934021,12.5407199859619,,,,,,,,,,,,
2000_Germany,100.69591,105.11767,,101.27228,101.41635,98.82593,,99.33632,,,94.12488,,99.99891,99.99891,,,,,,,,,1.73669,,,,4.19751,8.99666,13.194170000000002,,99.90326,,1.7066599999999998,,,,,,26.91868,72.76916,,484.0,,,,,,,,,,,,,,,
2000_Greece,99.79084,94.36084,79.69331,90.373,82.04315,93.04574,50.76597,92.21265,79.22078,,91.70706,84.744,95.82367,95.82367,87.71522,,,92.8605,74.42697,,,,,12.28478,,4.17633,5.65929,5.25359,10.91288,,,,,,25.57303,,12.60122,19.39864,,,,474.0,,3.23019003868103,6.957769870758059,24.032789230346694,19.8632907867432,40.67015838623049,19.216199874877894,,,81.8730926513672,75.61976623535159,82.74761962890629,,,
2000_Hungary,100.49593,101.11052,79.6642,97.73057,92.11581,100.38937,35.94206,87.81396,85.03628,,88.77476999999998,93.23963,96.56954,96.82911,97.64573,,,93.52165,83.7163,,,,2.10562,2.35427,,3.43046,4.05511,7.661869999999999,11.71699,,99.99236,,2.48031,,16.2837,,7.568589999999999,9.53568,13.21911,86.78089,,480.0,,4.85891008377075,10.323610305786099,21.0196895599365,33.962009429931605,40.475559234619105,20.0444393157959,19.082330703735398,18.8993301391602,90.28192138671879,82.3733215332031,92.2828826904297,94.3539886474609,,
2000_Iceland,98.37275,102.99279,90.12732,104.71952,117.52666,91.50245,46.09699000000001,98.82721,82.06997,,98.45954,91.31552,98.91577,98.93475,91.47909,,,99.57188,75.22629,1.0900299999999998,,,,8.52091,,1.08423,7.21755,7.511419999999998,14.72897,98.90997,99.87945,,,,24.77371,,9.44616,17.86046,19.73019,80.26980999999998,,507.0,,6.50241994857788,15.7391901016235,18.0891895294189,34.215671539306605,32.46630859375,18.4747905731201,37.011070251464794,21.6338996887207,,,,,,
2000_Indonesia,108.15221,108.77768,62.6969,81.67967,39.79373,70.35122,14.87963,,,,,,,,,,,,,,,,6.21033,,,,6.52666,3.30585,9.83251,,,,6.20567,,,,,,,,,371.0,,,,,,,,,,,,,,,
2000_Ireland,99.84975,102.28228,91.15098,103.48254,113.3816,99.20969,49.44981,94.79352,90.36688,,97.60376,95.57606,99.95917,99.95917,98.38264,,,,87.80951,1.80202,,,1.66957,1.61736,0.33554,0.04083,8.22776,5.2987,13.52646,98.19798,,,1.54925,0.41113,12.19049,,2.57133,6.02859,34.49975,65.21936,,527.0,,4.13662004470825,13.3974103927612,30.2747097015381,29.6704998016357,34.1263084411621,15.8809099197388,30.841119766235398,10.796609878539998,88.9014129638672,84.03285217285159,89.6995697021484,92.3212738037109,,
2000_Israel,,105.9737,89.17049,104.49257,109.07787,96.89381,49.47,97.77922,97.91429,,88.94317,93.97484,97.8504,99.55033,99.52333,,,99.59505,96.93921,,,,,0.47667,,2.1496,6.36385,6.1808,12.54464,,,,,,3.0607900000000003,,1.9611,1.77027,,,,452.0,,6.11819982528687,12.95934009552,18.3018798828125,27.519830703735398,30.0336208343506,17.7897090911865,35.4284706115723,20.1454296112061,91.8900375366211,90.84158325195308,92.0702667236328,89.4068984985352,,
2000_Italy,102.1451,102.70068,81.32525,96.11759,84.61273,106.08685,49.24782,98.54082,86.06195,,98.10822,96.62031,99.75138,99.9717,98.73138,,,99.92724,81.05249,,,,0.43634,1.26862,,0.24862,5.13425,7.3792300000000015,12.51348,,99.77574,,0.32256,,18.94751,,8.08,12.61292,23.28072,76.56555,,487.0,,4.2988600730896005,9.22249984741211,18.4998893737793,25.584810256957997,46.090999603271506,25.616689682006804,25.8183097839355,22.282169342041,92.0035934448242,82.849479675293,94.9651107788086,94.2118988037109,,
2000_Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.0,,,,,,,,,,,,,,,
2000_Jordan,99.30766,95.43953,72.87456,89.08114,71.27466,87.64808000000002,27.26987,88.58709,75.89125,,93.49573,82.34871,92.14436,92.14436,84.88368,,,89.34076,62.63704,,,,0.64077,15.116320000000002,,7.855639999999998,5.6978,4.934830000000002,10.63263,,,,,,37.36296,,14.88744,22.40422,,,,,,,,,,,,,,,,,,,
2000_Kazakhstan,100.82924,95.75197,78.5573,93.8427,97.3745,91.06015,31.595270000000006,85.96725,87.73881999999998,,91.00229,95.42755,93.48512,93.48512,97.59153,,,,76.79445,,,,0.26475,2.40847,0.32744,6.514880000000002,3.8645,6.41675,10.28125,,98.92651,,0.22569,0.34358,23.20555,,7.37776,7.88399,,,,,,3.25661993026733,,,,,,,,,,,,,
2000_Latvia,101.06477,101.69978,84.40535,93.66734,94.79139,87.38183000000002,56.2438,,,,,,,,,,,,,,,,1.96785,,,,4.03972,7.20512,11.24484,,99.47344,,1.83814,,,,,,16.238529999999994,83.76146999999997,,458.0,,5.28829002380371,14.6014795303345,16.260799407959002,22.314390182495107,48.6645698547363,22.862989425659197,20.8955192565918,19.3907299041748,94.16937255859379,79.1666717529297,93.82022094726558,93.76181030273442,99.7465667724609,99.7502593994141
2000_Lebanon,113.63285,130.98639,88.29208,108.68091,70.19055999999999,109.75933,38.30615,,,,,,,99.6043,,,,,,,,,8.5343,,5.3657,,6.5513,6.49699,13.04829,,96.47167,,8.35764,11.1903,,,,,20.82957,79.17043000000002,,,,,,,,,,,,,,,,,
2000_Lithuania,102.65836,103.14423,86.58391999999998,98.95504,97.60932,96.70661,50.89682,95.59408,90.95167,,91.60659,97.10198,97.92808,99.88558,99.79557,,,99.91731,82.81217,7.23912,,,0.76679,0.20443,0.71506,2.07192,4.13497,7.74887,11.88385,92.76088,99.77486,,0.6439600000000001,0.8193799999999999,17.187829999999998,,3.46153,4.13801,26.75409,73.24591,,,,,,,,,,,,,,,,,
2000_Luxembourg,,100.14192,75.35074,98.56639,89.32379,107.03325,9.81474,95.83488,83.93834,,93.75,86.53924,97.10292,97.75083,94.65608,,,,81.9189,,,,,5.34392,,2.89708,6.0226,6.788989999999999,12.8116,,,,4.646,,18.0811,,7.82008,12.51397,,,,441.0,,,,,,,,,,,,,,,
2000_Malaysia,102.13036,98.63761,72.86567,88.41804,61.61115,92.47145,25.63143,98.37439,75.30318,,99.56687,92.41716,98.37439,98.37439,92.9707,,,,57.34355,15.30395,,,,7.0293,,1.62561,5.9168699999999985,4.6158,10.53267,84.69605,99.24596,8.28877,,,42.65645,,12.598,24.41338,,,,,,5.9716100692749,21.390680313110398,32.0625190734863,80.8300476074219,34.5071792602539,21.663410186767607,27.167959213256804,12.4308595657349,65.18752288818361,53.9803314208984,66.1720504760742,74.9956588745117,88.6877593994141,97.23780059814449
2000_Malta,99.94203,106.55615,75.87711999999998,97.21761,61.40216,101.36078,21.35177,,82.54509,,,91.26013,,,,,,,61.75312,10.44597,,,1.96433,,0.86226,,6.36219,6.2742,12.6364,89.55403000000003,98.46756,7.471939999999999,2.34669,0.89161,38.24688,,,11.52382,11.9818,88.0182,,,,,,,,,,,,,,,,,
2000_Mexico,106.67533,107.17324,69.82722,89.43711,45.66608,94.45169,19.05062,97.19717,55.09954000000001,,98.45105,66.17713,99.3515,99.49752,82.60292,,,94.10602,44.60965,,,,6.21841,17.39708,,0.6485,6.44571,4.27383,10.71955,,90.62801,6.7221199999999985,5.5086,1.42752,55.39035,,17.76924,36.05392,24.36202,75.63798,,422.0,,3.99243998527527,19.6461296081543,,,,,40.3509407043457,11.098030090332001,,,,,90.5356216430664,96.6122817993164
2000_Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000_Netherlands,,107.98899,97.77402,115.02479,112.12182,132.45813,52.28482,99.39074,,,98.83647,,,99.52031,,,,,,,,,,,,,6.4924800000000005,7.345110000000001,13.83759,,,,,,,,,,16.31535,83.68465,,,,4.62550020217896,11.294059753417999,,,,,,,88.4495010375977,89.1082992553711,88.85729217529301,87.4312210083008,,
2000_New Zealand,,99.54072,,105.44263,123.3093,101.62936,,,,,,,,,,,,,,,,,,,,,5.97375,7.753360000000002,13.72711,,,,,,,,,,,,,529.0,,,,,,,,,,,,,,,
2000_North Macedonia,96.68171,96.82023,68.0637,86.36083,67.2337,95.63685,22.68661,90.23202,,,92.10852,,95.79318,97.70197,,,,,,4.71221,,,0.05292,,0.7141,4.20682,3.88136,6.50786,10.38922,95.28779,98.82478,,0.07504,0.674,,,,,30.91613,69.08386999999999,,373.0,,,,,,,,,,,,,,,
2000_Norway,97.94835,100.85066,97.7519,107.4652,135.5155,97.24567,69.27863,99.70516,94.75798,,97.88642,97.71077,99.70516,99.86452,97.71077,,,99.81557,91.7324,0.1555,,,,2.28923,,0.29484,7.05943,6.863569999999998,13.92301,99.8445,99.92314,,,,8.2676,,2.44015,5.22891,16.7062,78.93101999999998,,505.0,,6.46468019485474,15.772620201110804,25.401109695434602,38.62208938598629,,,,,89.3192977905273,88.6803512573242,,,,
2000_Peru,117.27621,121.29987,87.65689,105.21578999999998,69.33341999999999,94.47737,34.59748,97.57472,65.02023,,99.59429,63.03972,99.9532,99.9532,96.87312,,,95.24295,75.63543,14.13955,,,10.65017,3.12688,6.53442,0.0468,7.335339999999999,4.2971900000000005,11.63253,85.86045,97.5475,,10.60061,6.30668,24.36457,,5.03061,11.38899,,,,327.0,,3.22802996635437,15.250370025634801,,,28.379230499267607,9.9993896484375,41.8599891662598,8.07213020324707,95.5286178588867,,96.73251342773442,95.6089630126953,,
2000_Poland,96.09934,98.57536,86.17619,99.41137,100.69703,98.8883,49.68165,96.59532,90.21807,,94.43497,93.37708,96.74255,96.9824,98.10869,,,97.56499,86.74996999999998,,,,0.8425799999999999,1.89131,,3.25745,5.9042900000000005,6.03671,11.941,,100.0,,0.61771,,13.25003,,6.70211,9.61353,,,,479.0,,4.99361991882324,11.869299888610804,14.463339805603,17.493389129638697,,,,,92.94727325439449,92.4955673217773,,,,
2000_Portugal,,122.38401,89.76023,112.37979,95.99515,113.17436,47.63358,97.02278,81.14097,,,75.51629,97.02278,97.53924,99.73644,,,98.31867,85.34801999999998,,,,,0.26356,,2.97722,7.19247,6.0379999999999985,13.23047,,,6.82105,,,14.651979999999998,,5.65758,7.88165,18.52333,81.47667,,470.0,,5.16176986694336,12.052880287170401,18.1287803649902,25.763380050659197,42.96321105957029,27.453929901123,29.941869735717802,19.6096496582031,94.53524780273442,85.66697692871091,95.6085968017578,98.12378692626949,,
2000_Qatar,,105.15015,,98.65944,84.78761,97.62815,,96.18775,,,92.01706,,96.18775,96.39955,,,,,,,,,,,,3.81225,6.29319,5.4836,11.77679,,,,,,,,,,21.02564,78.97436,,,,3.72598004341125,9.67605018615723,,,,,,,,,,,,
2000_Republic of Korea,98.42942,100.59254,91.23317,98.24127,92.56162,100.0538,76.68274,99.02969,92.63426,,92.40978,95.23386,99.19325,99.19844,98.09251,,,99.19844,89.81148,1.23763,,,,1.90749,,0.80675,6.05087,5.74498,11.79586,98.76237,99.34231,11.25797,,,10.18852,,3.66191,6.43485,40.42146,59.57854,,525.0,,,,,,,,,,,,,,,
2000_Republic of Moldova,104.49062,101.37638,71.59225,88.10129,58.13073000000001,90.60771,32.52967,89.1081,78.24249,,,92.42509,92.56074,100.0,94.89931,,,,41.34241,12.75132,,,1.03809,5.10069,1.46488,7.439260000000001,4.0563699999999985,5.69181,9.74818,87.24868000000002,98.05275,,1.09004,1.3989200000000002,58.65759,,15.84646,19.96921,,,,,,4.486390113830571,12.923930168151903,,,,,,,,,,,96.65380096435551,99.5250778198242
2000_Romania,94.22293,96.76579,66.92335,84.59674,66.38686,91.73709,24.02692,88.35636,,,86.19564,90.25327,92.31201,92.31201,94.67607,,,93.58225,,,,,3.38091,5.323930000000002,,7.687989999999999,3.87048,6.33434,10.20482,,99.4588,,2.89759,,,,,,25.131,70.48278,,428.0,,2.8544299602508505,8.18758010864258,,,,,,,,,,,,
2000_Russian Federation,91.60963,102.78668,,,,92.40685,55.77999000000001,,,,,,,,,,,,,,,,1.20392,,,,3.0836,,,,99.31133,,1.02379,,,,,,,,,462.0,,2.93981003761292,8.951849937438961,16.114200592040998,10.9687404632568,,,,,,,,,,
2000_Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32136011123657,18.2845993041992,,,,,,,,,,,92.5494003295898,99.5046005249023
2000_Slovakia,100.84263,101.49387,71.61674000000002,90.06012,72.46754,96.90881,28.41184,,,,,,,,,,,,,,,,2.42212,,,,4.05975,7.705539999999999,11.7653,,99.48793,,2.32935,,,,,,22.25649,77.74351,,,,3.87198996543884,7.44282007217407,18.3729190826416,28.205509185791,51.026161193847706,15.8510103225708,15.6411800384521,10.5480098724365,95.2435989379883,89.8338165283203,95.9618301391602,96.7712020874023,,
2000_Slovenia,94.9768,97.1857,85.12392,99.84227,103.41866,98.22415,55.21148,93.62054,91.36473,,91.76195,95.15519,95.55307,95.55307,96.49289,,,97.65887,89.24958000000002,7.78983,,,0.95452,3.50711,1.42011,4.44693,3.88658,8.052610000000001,11.9392,92.21017,99.6348,,,1.50202,10.75042,,6.46175,7.29449,,,,,,,,,,,,,,,,,,,
2000_Spain,101.6347,104.2435,90.74058,107.39312,111.98476,108.8626,57.62898000000001,99.81312,88.54198000000002,,99.60705,93.79375,99.81312,99.83478,97.16522,,,99.66403,81.0207,,,,,2.83478,,0.18688,6.23993,6.3741400000000015,12.61406,,,,,,18.9793,,4.84088,8.68357,25.42915,74.52973,,493.0,,4.17637014389038,10.6626300811768,21.789369583129893,20.184360504150398,43.7445487976074,22.8330001831055,25.8261795043945,17.2269401550293,91.0499420166016,78.4376907348633,94.9924087524414,95.9930191040039,,
2000_Sweden,102.20514,109.59968,112.46801,129.24148,194.21983,111.99475,67.0748,99.42556,95.51994,,97.35811,99.52402,99.42556,99.6379,99.53602,,,99.851,91.53928,,,,,0.46398,,0.57444,6.5721300000000005,8.730269999999999,15.3024,,99.92361,,,,8.46072,,2.32505,4.34019,31.07808,68.92192,,516.0,,6.81885004043579,12.9876699447632,27.1832809448242,47.4092407226563,37.7431297302246,24.4558506011963,27.894250869751,21.754819869995107,100.0,100.0,100.0,100.0,,
2000_Switzerland,95.87892,106.2584,84.46603,100.42617,83.56853000000002,110.67423,37.69879,95.5744,84.37018,,97.06353,93.4769,99.29759,99.66454,97.98195,,,98.62084,77.42106,,,,1.6406900000000002,2.01805,,0.7024100000000001,6.36888,6.644819999999998,13.0137,,99.94266,,1.67858,,22.57894,,7.6093600000000015,13.68,25.27604,74.53636,,494.0,,4.7814002037048295,14.6406497955322,22.292179107666,48.8116989135742,39.44057083129879,24.6612606048584,31.4196090698242,20.0472393035889,91.0362014770508,88.3817596435547,92.51233673095699,90.15589141845699,,
2000_Thailand,96.16253,97.60774,,,,,34.78747,,,,,,,,,,,,,,,,3.54549,,,,5.83429,,,,,,3.80822,,,,,,,,,431.0,,5.25345993041992,28.388599395752,20.303630828857397,35.3390007019043,21.886510848999,,32.2286911010742,17.4728298187256,,,,,92.6465377807617,97.9753875732422
2000_Trinidad and Tobago,96.36929,104.90501,,,,80.23422,6.06049,93.85691,,,89.73113000000002,,98.30565,99.36633,,,,,,,,,7.9195600000000015,,,1.69435,7.29235,,,,97.41302,,5.80246,,,,,,,,,,,2.75565004348755,11.7311201095581,,,34.4629592895508,,50.24320983886721,10.416749954223599,,,,,97.9000015258789,99.4000015258789
2000_Tunisia,104.46858,114.86909,74.02895,92.90795,53.29795,101.9093,19.23327,95.43821,,,99.19796,,95.43821,95.43821,,,,,,,,,16.154529999999998,,,4.56179,6.86285,5.2245300000000015,12.08738,,91.91946,,13.71026,,,,,,,,,,,6.201980113983152,24.5917797088623,21.6549606323242,72.3510665893555,45.0306396484375,24.5339794158936,33.3143997192383,14.1746301651001,85.5146789550781,74.1462173461914,81.53407287597659,98.2849273681641,,
2000_Turkey,,103.40963,,87.07961,59.82171,87.44695,,95.85532,64.45994,,89.69949,80.76584,95.85532,95.85532,88.19536,,,,48.23366,,,,,11.80464,,4.14468,5.16931,4.42216,9.59147,,,,,,51.76634,,19.31365,31.834390000000006,30.65551,69.34449000000001,,,,2.52907991409302,6.375830173492429,30.9111404418945,,,,,,85.6115493774414,78.5184326171875,,,,
2000_United Arab Emirates,,,,,,86.70853000000002,,,,69.44445999999999,,,,,,,,,,4.24014,,,3.41066,,5.0037400000000005,,,,,95.75986,99.94577,,3.16646,7.1328,,,,,,,,,,,,,,,,,,,,,,,
2000_United Kingdom of Great Britain and Northern Ireland,,100.29797,90.01114,101.11194,103.5277,99.67609,58.46854,99.94839,94.626,,99.12259,99.67609,99.94839,99.96449,99.67609,,,99.94369,90.65448,,,,,0.32391,,0.05161,6.017519999999998,7.14703,13.16455,,,,,,9.34552,,2.87546,5.374,24.92055,64.41265,,523.0,,4.0717902183532715,12.0201101303101,17.540550231933597,20.7060508728027,48.7332992553711,21.9098091125488,24.711349487304698,12.748450279235804,94.8503265380859,,95.3556289672852,94.46643829345699,,
2000_United States of America,105.33097,100.72996,,97.44243,85.54782,102.52248,,95.00587,86.90575,,85.54286,,95.9091,97.71185,98.54847,,,95.10557,85.29489000000002,,,,,,,,6.05103,5.64579,11.69682,,,,,,,,,,17.8101,81.83991999999998,,504.0,,,,,,,,,,,,,,,
2000_Uruguay,101.04805,109.0212,83.31127,103.81499,86.62703,109.42673,33.8896,,,,,,,,,,,,,,,,8.89855,,,,6.60003,5.91235,12.51238,,81.46546,,8.97476,,,,,,,,,,,2.42254996299744,8.318530082702638,20.4781093597412,18.3022708892822,37.7866096496582,10.0047197341919,32.5535202026367,7.25879001617432,95.25489044189449,94.9022979736328,95.0516815185547,95.5722274780273,,
2000_Viet Nam,108.00573,108.75121,,,,80.92461999999998,9.41338,97.23602,,69.61837,,69.8359,97.37002,97.71419,84.49808,,,,50.15251,21.82272,,,3.33336,15.501920000000002,1.93125,2.62998,5.4541900000000005,,,78.17728000000002,93.42328,,2.79168,1.9832,49.84749,,18.04042,29.7491,,,,,,,,,,,,,,,,,,90.1561279296875,94.8365097045898
2003_Albania,99.47911,100.46332,66.85421,83.68775,52.0971,97.98091,16.73955,92.11883,,,88.09263,,92.11883,92.11883,,,,,,,,79.34744,2.81416,,,7.88117,3.99993,6.05016,10.05009,,,,2.12673,3.95344,,,,,6.13226,93.86774,,,,3.06427001953125,10.573599815368699,,,,,,,,,,,,
2003_Algeria,96.50098,106.00297,69.02716,89.26926999999998,48.37667,99.11128,18.4674,92.47238,,,90.91963,,94.42611,94.42611,,,,,,23.07822,84.58693000000002,,11.60591,,24.37505,5.5738900000000005,6.318969999999998,4.42404,10.74301,76.92178,93.79602,,11.49887,22.66758,,,,,,,,,,,,,,,17.932659149169897,,11.5248699188232,,,,,,
2003_Argentina,109.62897,116.50336,94.5957,106.27671,74.92318,116.04521,64.80838,98.99138,79.16766,80.80256,98.86682,81.84255,99.54385,99.78082,98.36863,58.91403,98.22621,99.66336,81.18171,13.465929999999998,104.15357,80.97338,6.34149,1.63137,9.43647,0.45615,7.03787,5.8234,12.86127,86.53407,96.70928,10.06902,6.48655,8.39173,18.81829,51.47936,5.21519,10.11261,,,,,,3.5350499153137203,14.354869842529302,16.1871700286865,10.4249401092529,37.2598991394043,12.593600273132301,38.01480102539061,10.499400138855,99.1878204345703,99.0627975463867,99.3115386962891,99.1446914672852,,
2003_Australia,,101.40074,,,,,,94.59748,,,72.1664,,94.76157,97.22161,,,,,,,,,,,,5.23843,7.08178,,,,,,,,,,,,22.57109,77.3826,524.0,525.0,,,,,,,,,,,,,,,
