Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",pisa_math,pisa_reading,pisa_science,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",climate_index,resources_index,learning_index,ed_qual_index
2000_Albania,0.942660345898249,0.965837026341199,0.9249356615389787,0.9252455114958946,0.9063091138787044,0.9524080399914154,0.9167880167587122,1.0549916448154923,0.9893465901884526,,1.0075384584923084,1.0573779385321793,1.0493670514450755,1.045361266908611,1.0509974517965148,,,,0.9200474404402124,1.0718109737919872,,0.9656748233950934,1.0686910244765175,1.050997451796515,1.0482854569440767,1.049531035884725,0.9424772946409132,0.9787635425706451,0.9206221698719198,1.0718109737919876,1.074344858288962,,1.0626021887792245,1.046254027619747,0.9200474404402124,,0.919920044447143,0.9551435763392611,0.9047102966434946,1.095556410911213,,0.9303278688524591,,0.9393672639514377,0.9404973428145976,,,,,,,,,,,,,0.9100917529558421,0.9526881690821565,0.9397236653490513,0.8147720356311767
2000_Algeria,0.9318745169097226,0.9665543145983981,,0.9317058574535475,0.9034399078355551,0.9380561941637142,,0.9814589759339859,,,1.0621068875786226,,0.9841234104419233,0.9749744638733092,,,,,,1.0271340326898843,,,0.9864218347985099,,0.9086097484412219,0.9842157663543505,1.024832042549221,0.9207536020943589,0.9297663434709117,1.0271340326898843,1.037202512063437,,0.9834615650845557,0.9013263635663962,,,,,,,,,,,,,,,0.9548898778448265,,0.9228127512991876,,,,,,,0.9046435469720425,0.9521579532813926,0.9627244252582431,0.8292557268158212
2000_Argentina,0.9688209727943433,1.0131952018264918,0.9902740928309312,1.0095978330904107,0.9377582969282767,0.993139431250398,0.9829245429384139,1.0908741350347526,1.029752061363857,1.0502502152695201,1.0943889811222038,1.0517859103086664,1.0944899193684035,1.0968373474100956,1.0906410360204997,0.9781805845106759,0.9703699630684617,1.0972300222555509,1.0237657230880903,1.056963709235236,1.0240619264108954,0.9690760100921016,1.0509460492251304,1.0906410360204997,1.031059148421936,1.0947034424990845,1.0561257814686944,0.9840783323699842,1.0097768520242678,1.0569637092352362,1.078520143913704,,1.038956212481054,1.0329306510963239,1.0237657230880903,0.9079611328808871,1.048114534480547,1.0407500560403244,,,,,,0.9727540692528788,0.993712650601117,0.9950528724530969,0.9242712906420605,0.9737788879182989,0.9482526202050031,1.0041066889827805,0.9362901666224878,,,,,,,0.9521978459509709,0.9267994197120376,0.9627244252582431,0.8496008501479264
2000_Australia,,0.9497196659245388,,,,,,1.0357083413142405,,,0.9032934593413081,,1.0290033376820449,1.0233922797756514,,,,,,,,,,,,1.0291449655701106,1.0536390781002147,,,,,,,,,,,,0.9741218247266643,1.03007511914323,,1.077049180327869,,0.9808434829217552,0.968664664454514,1.022923789831035,,0.9839324335022698,,0.996720415150187,0.9607846154422948,1.0597227314576276,1.0646292425690405,1.0661998914273383,1.0681477245957143,,,0.9138785300704045,1.0206291013947273,0.9881605597460552,0.9216880097107143
2000_Austria,,0.9619265227958552,,0.9857652681425506,0.9620579510739374,0.9632778303758417,,,1.0617485141167786,,,1.0645968723308539,,,1.09815160054757,,,,1.0750765091367533,,,,,1.09815160054757,,,0.9418097415321453,1.049544435088239,0.983584282784016,,,,,,1.0750765091367533,,,1.0807573978369465,,,,1.0475409836065575,,0.9987868990544523,0.948329260338787,1.0313076569415558,,1.0079348031736959,0.9947318730021345,0.9313369380493308,0.9926942660463675,1.071869327260642,1.0880676104608726,1.0700984934922935,1.0684888744140553,,,0.9223361298801444,1.0277727388535274,0.978419061431574,0.9274942379757642
2000_Belgium,,0.9662781838957833,1.0314141794083318,1.070535318972066,1.0112198803478378,1.0514203645939328,0.9917129666174825,1.0884467282682642,1.0780040917806213,1.0616848030961776,1.0606782278643547,1.062007947333363,1.090129219733487,1.1,1.089505083653014,1.0679903605546262,,,1.0893267537067535,,,,,1.0895050836530142,,1.0903379554168753,1.0247663369724114,1.0639998261141175,1.0581439123286407,,,,,,1.0893267537067535,,1.0866097959932746,1.0873594621774085,0.969297964566195,1.0345752110528401,,1.0598360655737706,,,,,,,,,,,,,,,,0.9757151898079461,0.9796936493211064,0.9824780190626079,0.939152678817
2000_Brazil,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,1.0802248116092128,,0.9,,,,,,,,,0.9688524590163936,,0.9564560004673649,0.9519904236688721,1.015824643239836,1.016008208563659,0.9834136418468411,,0.9822236050224881,0.9263383658116614,1.064717185692298,1.0886644290643366,1.0671725797870364,1.0525030691155635,1.0011795824872174,0.9592577341685389,0.9111959486737758,1.0016528099048627,0.9397724006338559,0.8577321330285695
2000_Bulgaria,0.9469391752673166,0.9611141952488219,0.9573219430667634,0.9719592821729705,0.9688902001599309,0.935293642065173,0.9669967438451317,1.0485644273891532,1.055083152977736,,1.0583529283294144,1.0748466705506534,1.0644351231553912,1.0687619927416696,1.0674459149078221,,,1.062092251439491,1.038270634272,,,,1.0751437500250085,1.0674459149078224,,1.0646156502613926,0.9406200429224596,1.004417506444243,0.9422429410091965,,1.0938389623162545,,1.078498215798833,,1.038270634272,,1.0304569299605975,1.047489239229461,0.9635993880856649,1.0399277800189741,,0.9967213114754099,,,,,,,,,,,,,,,,0.9289400893721051,0.9796936493211064,0.961642036556634,0.875168017132179
2000_Canada,0.9439908298204596,0.9491246405835367,0.99390638834708,0.987486889488028,0.972396915118439,0.9558825830779045,0.9928764033098184,1.099682304842044,,,1.0914422617115478,,1.0990289712269425,1.0989380402507423,,,,,,,,,,,,1.099247477611081,1.0139735155982708,0.9916752133724684,0.985287592256582,,,,,,,,,,,,,1.0819672131147542,,0.9949974889289702,0.9653651252836233,,,,,,,1.079308871186369,,,,,,0.9190016131387044,0.988202392420874,0.9897841427984688,0.8988819640266541
2000_Chile,0.9487344517464344,0.9705994384144092,0.9585737607656244,0.9684136575913078,0.9428062535096966,0.9550942887524405,0.9530888678329899,,,,,,,,,,,,,,,,,,,,1.027070697645485,0.9611221757632061,0.9676208086678244,,,,,,,,,,,,,0.9803278688524591,,0.951987698775301,0.9954740994613535,0.9760657156888262,0.9269696571072956,0.9687368953547193,0.9415697671747251,1.0374438805704038,0.944227024405697,1.0263986976820436,1.0704500469419709,1.0093882875493048,1.0103536728409104,,,0.9078478001428707,0.946891213589615,0.956230093048589,0.8220070442035904
2000_China,,,,,0.9,0.9203524665947355,0.9027464308007029,,,,,,,,,,,,,,,,,,,,,0.9173895542886216,,,,0.9111369906467175,,,,,,,,,,,,,,,,,,,,,,,,1.0347531761344426,1.074462648386886,0.9063929481210751,0.9796936493211064,0.9996339986206271,0.8876624104448733
2000_Colombia,1.1,1.0264790957562038,0.9406408382160765,0.9612435194626375,0.918649904099801,0.9199792776929674,0.9301564768934095,1.0415995720031965,,,0.9857123228575355,,1.0698922363570644,1.1,,,,,,,,,1.0573095437212148,,,1.070078754621369,1.0156666977698983,0.9308096802914843,0.9319766040339565,,1.0286138852695217,,1.03794512537146,,,,,,,,,,,0.9451569516710104,0.9680238254397928,1.004243509689145,0.9554961456309412,0.9645184642489577,0.9372670521823409,1.0444449393520396,0.934874676231787,,,,,,,0.9142154190483966,0.927536707076841,0.9627244252582431,0.8163598513856883
